,id,arrival_time,network,data_parallelism,cores,memory,batch_size,epochs,learn_rate,learn_decay,start_time,end_time,accuracy,train_loss,test_loss,service_time,queue_time,response_time
20,4d33ea7e-8f58-406f-acfd-c4621e7d2f55,2021-10-21 12:05:52.190873,FashionMNISTCNN,1,2000m,2Gi,128.0,15.0,0.01,0.0002,2021-10-21 12:17:19.327648,2021-10-21 12:27:41.349946,90.84,0.1345209455490112,22.476356647908688,622.022298,687.136775,1309.159073
21,3940b5f1-cc7b-4507-b491-7f467a16bf9c,2021-10-21 12:05:52.190907,FashionMNISTCNN,1,3000m,2Gi,128.0,15.0,0.01,0.0002,2021-10-21 12:40:59.324806,2021-10-21 12:50:50.384719,89.94,0.1513732812553644,23.76320441812277,591.059913,2107.133899,2698.193812
22,a905d445-70a2-4712-8b5a-25487f53916b,2021-10-21 12:05:52.190933,FashionMNISTCNN,1,2000m,3Gi,128.0,15.0,0.01,0.0002,2021-10-21 12:13:27.657387,2021-10-21 12:23:19.858988,91.25,0.1419403368234634,20.890641562640667,592.201601,455.466454,1047.668055
23,328fe95a-1d47-4db6-bc38-32f999c9cacd,2021-10-21 12:05:52.190961,FashionMNISTCNN,1,3000m,3Gi,128.0,15.0,0.01,0.0002,2021-10-21 13:10:30.933913,2021-10-21 13:20:50.101219,90.71,0.1485069541633129,22.19216880202293,619.167306,3878.742952,4497.910258
24,2623f688-db78-4b44-b4d3-8b0b640f11e0,2021-10-21 12:06:02.201856,FashionMNISTCNN,1,3000m,3Gi,64.0,10.0,0.01,0.0002,2021-10-21 12:43:27.010158,2021-10-21 12:51:12.771002,91.09,0.1690720628947019,40.81017854064703,465.760844,2244.808302,2710.569146
25,4b463746-4d96-481b-b7e9-d4c937cae805,2021-10-21 12:06:02.347069,FashionMNISTCNN,1,3000m,2Gi,64.0,15.0,0.01,0.0002,2021-10-21 12:23:24.389428,2021-10-21 12:33:09.998107,90.65,0.1362057516723871,43.11393904685974,585.608679,1042.042359,1627.651038
26,62243461-e318-4cf6-820a-d4809cc466d3,2021-10-21 12:06:02.347136,FashionMNISTCNN,1,2000m,3Gi,64.0,15.0,0.01,0.0002,2021-10-21 12:23:13.770337,2021-10-21 12:33:26.782249,91.22,0.1341083400696516,43.64694726094604,613.011912,1031.423201,1644.435113
27,269ca852-bf99-4801-b299-fea423d8523e,2021-10-21 12:06:02.347198,FashionMNISTCNN,1,2000m,3Gi,128.0,10.0,0.01,0.0002,2021-10-21 13:11:03.132950,2021-10-21 13:17:28.213101,90.93,0.1629613696038723,20.65915517508984,385.080151,3900.785752,4285.865903
28,ef2b8d16-fc8f-419f-81dd-077b7ed96554,2021-10-21 12:06:02.347247,FashionMNISTCNN,1,2000m,2Gi,128.0,15.0,0.01,0.0002,2021-10-21 12:06:25.147162,2021-10-21 12:16:12.165935,90.63,0.1381293195486068,22.363260872662067,587.018773,22.799915,609.818688
29,06fe993e-f273-47cd-a07a-054075ca786f,2021-10-21 12:06:02.347292,FashionMNISTCNN,1,3000m,2Gi,128.0,15.0,0.01,0.0002,2021-10-21 12:59:53.508963,2021-10-21 13:10:17.519295,91.02,0.1347669622302055,22.21007277071476,624.010332,3231.161671,3855.172003
30,8a51feca-e8f6-4daa-bab7-c0f0a756ae4c,2021-10-21 12:06:02.347335,FashionMNISTCNN,1,3000m,3Gi,128.0,15.0,0.01,0.0002,2021-10-21 12:50:55.656293,2021-10-21 13:00:53.623208,91.0,0.1544642798602581,21.61485118418932,597.966915,2693.308958,3291.275873
31,7f87de3d-f7db-4a73-b221-195fa9304b85,2021-10-21 12:06:12.197414,FashionMNISTCNN,1,2000m,2Gi,64.0,10.0,0.01,0.0002,2021-10-21 12:45:40.826826,2021-10-21 12:52:52.480437,90.71,0.1640992268174886,43.0151641368866,431.653611,2368.629412,2800.283023
