,id,arrival_time,network,data_parallelism,cores,memory,batch_size,epochs,learn_rate,learn_decay,start_time,end_time,accuracy,train_loss,test_loss,service_time,queue_time,response_time
0,a9275246-183a-4cb3-ac78-124da3102914,2021-10-21 08:44:52.415537,FashionMNISTCNN,1,2000m,2Gi,64.0,10.0,0.01,0.0002,2021-10-21 08:45:32.195920,2021-10-21 08:52:11.250342,91.29,0.1800227645784616,40.37483201175928,399.054422,39.780383,438.834805
1,114e887a-7f24-4736-8b87-221cb2364c11,2021-10-21 08:45:02.420831,FashionMNISTCNN,1,2000m,2Gi,64.0,10.0,0.01,0.0002,2021-10-21 08:45:29.380069,2021-10-21 08:51:34.446588,91.15,0.1733780193328857,41.07833654433489,365.066519,26.959238,392.025757
2,e0f84223-565b-4d53-98e4-488b997c9287,2021-10-21 08:45:22.436489,FashionMNISTCNN,1,2000m,2Gi,64.0,10.0,0.01,0.0002,2021-10-21 08:45:32.638354,2021-10-21 08:52:22.452983,90.76,0.1628431469202041,42.04098506271839,409.814629,10.201865,420.016494
3,a1174a56-894d-46e9-9fdc-8a58cecf80b8,2021-10-21 08:54:44.785283,FashionMNISTCNN,1,3000m,2Gi,64.0,10.0,0.01,0.0002,2021-10-21 08:54:55.531063,2021-10-21 09:01:39.393955,90.73,0.1680105957388878,41.52985869348049,403.862892,10.74578,414.608672
4,3f21ea15-e4d8-4f4b-8841-1be9505e62ba,2021-10-21 08:54:54.790452,FashionMNISTCNN,1,3000m,2Gi,64.0,10.0,0.01,0.0002,2021-10-21 08:55:04.262330,2021-10-21 09:01:34.614983,91.07,0.156936826556921,41.35503289103508,390.352653,9.471878,399.824531
5,f09eb071-21ba-44c2-a29e-9ba608f7cbde,2021-10-21 08:55:14.800759,FashionMNISTCNN,1,3000m,2Gi,64.0,10.0,0.01,0.0002,2021-10-21 08:55:24.420170,2021-10-21 09:01:32.746292,90.79,0.1694380416721105,41.60484558343887,368.326122,9.619411,377.945533
6,77d16c34-84f6-45d7-9d2c-c964b520a5d4,2021-10-21 09:03:34.221712,FashionMNISTCNN,1,2000m,3Gi,64.0,10.0,0.01,0.0002,2021-10-21 09:03:43.760997,2021-10-21 09:09:51.693624,90.82,0.1694708571583032,41.48665262013674,367.932627,9.539285,377.471912
7,dbfc62bf-3c0f-48a8-ac8e-0f618e25dd69,2021-10-21 09:03:44.225762,FashionMNISTCNN,1,2000m,3Gi,64.0,10.0,0.01,0.0002,2021-10-21 09:03:54.434418,2021-10-21 09:10:36.692492,90.75,0.1856990990042686,43.13196678459644,402.258074,10.208656,412.46673
8,7f0450a3-c2d9-496c-bfbd-6655ccc7ad1e,2021-10-21 09:04:04.236044,FashionMNISTCNN,1,2000m,3Gi,64.0,10.0,0.01,0.0002,2021-10-21 09:04:13.818551,2021-10-21 09:11:03.801804,90.63,0.1693665966391563,41.70480592548847,409.983253,9.582507,419.56576
9,fa442274-cde4-47a0-8729-3aad8ccdd94a,2021-10-21 09:12:15.597892,FashionMNISTCNN,1,3000m,3Gi,64.0,10.0,0.01,0.0002,2021-10-21 09:12:24.970625,2021-10-21 09:18:29.681641,91.24,0.1681455405056476,39.60454344749451,364.711016,9.372733,374.083749
10,aec0c65f-50f5-4185-b378-36c894874f4b,2021-10-21 09:12:25.603059,FashionMNISTCNN,1,3000m,3Gi,64.0,10.0,0.01,0.0002,2021-10-21 09:12:35.076136,2021-10-21 09:19:10.906104,90.64,0.1795052216947078,43.29572799056768,395.829968,9.473077,405.303045
11,a7dbb0dd-8ec6-456c-8806-de515d908180,2021-10-21 09:12:45.613632,FashionMNISTCNN,1,3000m,3Gi,64.0,10.0,0.01,0.0002,2021-10-21 09:12:55.156395,2021-10-21 09:19:09.876837,91.37,0.1693463176488876,39.52914601564407,374.720442,9.542763,384.263205
12,37700415-eac9-4672-8304-2f43d3b40e31,2021-10-21 09:20:31.391619,FashionMNISTCNN,1,2000m,2Gi,64.0,15.0,0.01,0.0002,2021-10-21 09:20:41.062848,2021-10-21 09:29:42.380707,90.2,0.1348793184012174,49.157117031514645,541.317859,9.671229,550.989088
13,8c7e5e3b-abc6-40a4-a7b6-df6647288f22,2021-10-21 09:20:41.397199,FashionMNISTCNN,1,2000m,2Gi,64.0,15.0,0.01,0.0002,2021-10-21 09:20:51.045386,2021-10-21 09:30:34.085823,90.51,0.120061792768538,44.9744408801198,583.040437,9.648187,592.688624
14,e840894e-a451-4f5a-b4d6-cd2ced835aec,2021-10-21 09:21:01.407429,FashionMNISTCNN,1,2000m,2Gi,64.0,15.0,0.01,0.0002,2021-10-21 09:21:10.810995,2021-10-21 09:30:17.311569,90.86,0.1421216766908765,44.743025328964,546.500574,9.403566,555.90414
15,640d33ca-9d58-4943-af15-3e2f4eafc49a,2021-10-21 09:32:02.235401,FashionMNISTCNN,1,3000m,2Gi,64.0,15.0,0.01,0.0002,2021-10-21 09:32:11.779052,2021-10-21 09:41:22.585371,91.11,0.1345345784723758,43.545937947928905,550.806319,9.543651,560.34997
16,ee98e839-832f-4c45-8e09-5b21b6e84259,2021-10-21 09:32:12.241350,FashionMNISTCNN,1,3000m,2Gi,64.0,15.0,0.01,0.0002,2021-10-21 09:32:21.710063,2021-10-21 09:42:00.756910,90.92,0.1457598651945591,43.76911646127701,579.046847,9.468713,588.51556
17,1298d519-1284-4d0c-b867-c01a1d2a9a0d,2021-10-21 09:32:32.252067,FashionMNISTCNN,1,3000m,2Gi,64.0,15.0,0.01,0.0002,2021-10-21 09:32:41.733129,2021-10-21 09:41:36.895585,91.23,0.1311394996941089,43.09747526794672,535.162456,9.481062,544.643518
18,66e42c93-c8fd-4af0-b6bb-5a6062bd9551,2021-10-21 09:43:45.362043,FashionMNISTCNN,1,2000m,3Gi,64.0,15.0,0.01,0.0002,2021-10-21 09:43:54.800188,2021-10-21 09:53:53.887391,90.41,0.1409924954921007,45.38506042957306,599.087203,9.438145,608.525348
19,8cf56267-c8db-4111-b66b-2299b5555046,2021-10-21 09:43:55.367394,FashionMNISTCNN,1,2000m,3Gi,64.0,15.0,0.01,0.0002,2021-10-21 09:44:04.715982,2021-10-21 09:53:10.749152,90.89,0.1371577957272529,44.17216606810689,546.03317,9.348588,555.381758
