,id,arrival_time,network,data_parallelism,cores,memory,batch_size,epochs,learn_rate,learn_decay,start_time,end_time,accuracy,train_loss,test_loss,service_time,queue_time,response_time
0,cd151f54-b040-4531-b55a-2bc2e83230aa,2021-10-20 14:22:42.175897,Cifar10CNN,1,2000m,1Gi,128.0,7.0,0.1,0.0002,2021-10-20 14:22:51.566703,2021-10-20 14:49:12.500775,28.33,2.19394805431366,172.05229306221008,1580.934072,9.390806,1590.324878
1,d001eebf-adca-4648-a24e-4bff9462e8d8,2021-10-20 14:22:42.175942,Cifar10CNN,1,1000m,1Gi,128.0,10.0,0.1,0.0002,2021-10-20 14:22:53.088322,2021-10-20 16:04:27.105159,31.13,2.184357075691223,169.7888321876526,6094.016837,10.91238,6104.929217
2,0b00862d-6c06-46ef-8afe-eb37e18401ba,2021-10-20 14:22:42.175972,Cifar10CNN,1,2000m,1Gi,128.0,10.0,0.1,0.0002,2021-10-20 14:22:51.566656,2021-10-20 15:04:36.097610,28.09,2.184512448310852,172.29777574539185,2504.530954,9.390684,2513.921638
3,eb4442e1-65a6-445f-9a57-8571e0e4ab22,2021-10-20 14:22:42.175998,Cifar10CNN,1,1000m,2Gi,128.0,10.0,0.1,0.0002,2021-10-20 14:22:53.913971,2021-10-20 16:03:57.208889,30.62,2.1637691402435304,170.18007445335388,6063.294918,11.737973,6075.032891
4,1cc81784-1996-4881-9999-9d21730b7a71,2021-10-20 14:22:42.176022,Cifar10CNN,1,1000m,1Gi,256.0,7.0,0.1,0.0002,2021-10-20 14:38:42.874569,2021-10-20 15:27:52.673937,52.11,1.9682874441146847,77.77357530593872,2949.799368,960.698547,3910.497915
5,013a44b4-034e-4f6f-81f1-81e70362bd68,2021-10-20 14:22:42.176054,Cifar10CNN,1,2000m,1Gi,256.0,7.0,0.1,0.0002,2021-10-20 14:35:05.413156,2021-10-20 15:05:29.906519,52.9,1.9442291784286496,77.44922184944153,1824.493363,743.237102,2567.730465
6,7f235d6f-6903-4409-9f6c-f83c797e6384,2021-10-20 14:22:42.176078,Cifar10CNN,1,1000m,2Gi,256.0,7.0,0.1,0.0002,2021-10-20 14:22:51.566733,2021-10-20 15:20:47.160719,53.33,1.9338619756698607,77.14547276496887,3475.593986,9.390655,3484.984641
7,1a61cf52-78db-4b9a-932b-3f9636f455e6,2021-10-20 14:23:12.421724,Cifar10CNN,1,2000m,1Gi,256.0,10.0,0.1,0.0002,2021-10-20 16:51:03.701558,2021-10-20 17:31:21.272432,55.17,1.9323757028579711,76.49354124069214,2417.570874,8871.279834,11288.850708
8,ed95dd2d-f348-4324-a540-69e82b6588a9,2021-10-20 14:22:42.176145,Cifar10CNN,1,2000m,2Gi,256.0,10.0,0.1,0.0002,2021-10-20 14:22:51.565949,2021-10-20 15:03:27.217210,53.01,1.970467758178711,77.19316232204437,2435.651261,9.389804,2445.041065
9,d4479ab2-8374-478e-b582-0612904105b4,2021-10-20 14:22:51.477612,Cifar10CNN,1,1000m,1Gi,128.0,7.0,0.1,0.0002,2021-10-20 14:22:58.810993,2021-10-20 15:33:57.159922,32.29,2.141430668830872,169.01385974884033,4258.348929,7.333381,4265.68231
10,a6df6445-bc82-4a87-ad6c-3d3890b200e3,2021-10-20 14:23:36.489033,Cifar10CNN,1,2000m,1Gi,128.0,7.0,0.1,0.0002,2021-10-20 15:09:07.993356,2021-10-20 15:31:57.594337,32.25,2.158491325378418,168.88978505134585,1369.600981,2731.504323,4101.105304
11,d038b5ea-725c-4e86-953c-1fbd4816be9c,2021-10-20 14:22:51.477736,Cifar10CNN,1,1000m,2Gi,128.0,7.0,0.1,0.0002,2021-10-20 14:24:08.648828,2021-10-20 15:05:14.673277,25.94,2.2150564861297606,173.86575436592102,2466.024449,77.171092,2543.195541
12,6b09c143-16f8-4ffc-afed-45de0d9ab71d,2021-10-20 14:23:39.762987,Cifar10CNN,1,2000m,2Gi,128.0,7.0,0.1,0.0002,2021-10-20 15:55:31.201408,2021-10-20 16:24:12.597219,30.3,2.1528011322021485,170.48619532585144,1721.395811,5511.438421,7232.834232
13,d6649463-cede-4d8f-bc65-94e1786249c0,2021-10-20 14:23:37.903392,Cifar10CNN,1,1000m,1Gi,128.0,10.0,0.1,0.0002,2021-10-20 15:06:44.036985,2021-10-20 16:05:34.641964,24.48,2.223223843574524,175.12872767448425,3530.604979,2586.133593,6116.738572
